fold,variant,seed,slide_id,pair_cosine_average,pair_cosine_worst,retrieval_top1_average,retrieval_top1_worst,scanner_probe_accuracy
0,paired_reference,703,slide_34,0.6400073742866517,0.5699025392532349,0.965,0.9,0.68
0,paired_reference,704,slide_34,0.621588129401207,0.5312979131937027,0.925,0.85,0.72
0,paired_reference,705,slide_34,0.6260776922106743,0.5537508219480515,0.94,0.85,0.76
3,paired_reference,701,slide_35,0.5793465706706047,0.4848070859909058,0.965,0.85,0.84
3,paired_reference,702,slide_35,0.5880311810970307,0.5084073781967163,0.96,0.85,0.82
3,paired_reference,703,slide_35,0.5736235016584397,0.48478706181049347,0.97,0.85,0.8
3,paired_reference,704,slide_35,0.5791156004369259,0.4941635698080063,0.945,0.9,0.76
3,paired_reference,705,slide_35,0.5823636817932129,0.4977184683084488,0.95,0.85,0.8
3,paired_reference,701,slide_36,0.669561219215393,0.5617213636636734,0.96,0.85,0.72
3,paired_reference,702,slide_36,0.6756805983185769,0.5984998941421509,0.97,0.9,0.86
3,paired_reference,703,slide_36,0.6751680567860603,0.5778982162475585,0.96,0.85,0.82
3,paired_reference,704,slide_36,0.6610947042703629,0.5643104672431946,0.96,0.85,0.8
3,paired_reference,705,slide_36,0.6532991424202919,0.5830935359001159,0.94,0.85,0.72
1,paired_reference,701,slide_37,0.6411871618032455,0.5622582867741585,0.945,0.85,0.74
1,paired_reference,702,slide_37,0.6498039677739144,0.5692087203264237,0.975,0.9,0.56
1,paired_reference,703,slide_37,0.6610237205028534,0.5838373124599456,0.97,0.9,0.7
1,paired_reference,704,slide_37,0.6398272907733917,0.5555303156375885,0.97,0.9,0.66
1,paired_reference,705,slide_37,0.6379642513394356,0.5720713555812835,0.955,0.85,0.62
1,paired_reference,701,slide_38,0.530921101719141,0.4286761850118637,0.91,0.75,0.78
1,paired_reference,702,slide_38,0.5342012143135071,0.4246004194021225,0.905,0.8,0.84
1,paired_reference,703,slide_38,0.5295441961288452,0.42014554888010025,0.885,0.75,0.82
1,paired_reference,704,slide_38,0.5306536944210529,0.434593166410923,0.915,0.75,0.84
1,paired_reference,705,slide_38,0.5298896522819996,0.4130355015397072,0.935,0.7,0.78
0,paired_reference,701,slide_39,0.6589708581566811,0.5773858487606048,0.945,0.85,0.7
0,paired_reference,702,slide_39,0.6555982092022896,0.5754844546318054,0.96,0.85,0.74
0,paired_reference,703,slide_39,0.6519500938057899,0.5682411640882492,0.965,0.9,0.66
0,paired_reference,704,slide_39,0.6585938823223114,0.5660006910562515,0.97,0.9,0.72
0,paired_reference,705,slide_39,0.6617691293358803,0.557238295674324,0.975,0.85,0.68
