fold,variant,method,seed,epochs,final_training_loss,projected_feature_dim,projected_feature_variance_mean,run_dir,input_dim,biological_dim,acquisition_dim,hidden_dim,temperature,reconstruction_weight,variance_weight,covariance_weight,scanner_adversary_weight,scanner_acquisition_weight,scanner_dependence_weight,cross_covariance_weight,gradient_reversal_strength,n_fit_slides,n_test_slides
3,paired_reference,paired_consistency,704,75,1.65297374358544,256,1.0522215366363525,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_3\runs\paired_reference_seed_704,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,39,9
3,paired_acquisition_dep20,paired_acquisition,704,75,2.4932076930999756,256,1.0031421184539795,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_3\runs\paired_acquisition_dep20_seed_704,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,39,9
3,paired_reference,paired_consistency,705,75,1.6569691437941332,256,1.0505576133728027,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_3\runs\paired_reference_seed_705,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,39,9
3,paired_acquisition_dep20,paired_acquisition,705,75,2.4963243924654446,256,0.9999314546585083,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_3\runs\paired_acquisition_dep20_seed_705,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,39,9
4,paired_reference,paired_consistency,701,75,1.659122531230633,256,1.0489678382873535,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_4\runs\paired_reference_seed_701,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,39,9
4,paired_acquisition_dep20,paired_acquisition,701,75,2.5004280713888316,256,1.0053751468658447,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_4\runs\paired_acquisition_dep20_seed_701,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,39,9
4,paired_reference,paired_consistency,702,75,1.6519120381428645,256,1.0542806386947632,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_4\runs\paired_reference_seed_702,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,39,9
4,paired_acquisition_dep20,paired_acquisition,702,75,2.490386174275325,256,1.0066121816635132,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_4\runs\paired_acquisition_dep20_seed_702,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,39,9
4,paired_reference,paired_consistency,703,75,1.6558604790614202,256,1.0477681159973145,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_4\runs\paired_reference_seed_703,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,39,9
4,paired_acquisition_dep20,paired_acquisition,703,75,2.4984337183145375,256,0.9961857795715332,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_4\runs\paired_acquisition_dep20_seed_703,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,39,9
4,paired_reference,paired_consistency,704,75,1.652908416894766,256,1.0503897666931152,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_4\runs\paired_reference_seed_704,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,39,9
4,paired_acquisition_dep20,paired_acquisition,704,75,2.4945133465986986,256,1.0043935775756836,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_4\runs\paired_acquisition_dep20_seed_704,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,39,9
4,paired_reference,paired_consistency,705,75,1.6554646583703847,256,1.049888014793396,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_4\runs\paired_reference_seed_705,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,39,9
4,paired_acquisition_dep20,paired_acquisition,705,75,2.4945070560161886,256,1.0031073093414307,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_4\runs\paired_acquisition_dep20_seed_705,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,39,9

